ffprobe|mp3guessenc|mediainfo|file
UNK|LAME3.99.5|LAME3.99|bad - makes shift/01 - MARKUS SCHULZ FT. BROOKE TOMLINSON - In The Night.mp3
UNK|LAME3.99.5|LAME3.99|bad - makes shift/02 - GARETH EMERY AND BEN GOLD - Until We Meet Again - Extended Mix.mp3
UNK|LAME3.98.2|LAME3.98|bad - makes shift/03 - COSMIC GATE AND EMMA HEWITT - Going Home - Gareth Emery Remix.mp3
Lavf|LAME3.99.5|LAME3.99.5|bad - makes shift/03 - ESTIVA - Blossom - Extended Mix.mp3
UNK|LAME3.99.5|LAME3.99|bad - makes shift/04 - LANGE vs GARETH EMERY - Another You, Another Me - Solis And Sean Truby Remix.mp3
Lavf|LAME3.99.5|LAME3.99.5|bad - makes shift/04 - ORJAN NILSEN FT. RYKKA - The Hardest Part - Extended Mix.mp3
UNK|LAME3.99.5|LAME3.99|bad - makes shift/05 - ARMIN VAN BUUREN FT. ERIC VLOEIMANS - Embrace - Arty Extended Remix.mp3
UNK|LAME3.99.5|LAME3.99|bad - makes shift/05 - SUPER8 & TAB - Cosmo - Extended Mix.mp3
UNK|LAME3.99.5|LAME3.99|bad - makes shift/08 - VENOM ONE - Elysia - Extended Mix.mp3
UNK|LAME3.99.5|LAME3.99.5|bad - makes shift/08 - VINCENT DE MOOR - Fly Away - Khomha Extended Remix.mp3
UNK|LAME3.98.2|LAME3.98|bad - makes shift/09 - LANGE - Imagineer - Alex M.o.r.p.h Remix.mp3
UNK|LAME3.98.2|LAME3.98|bad - makes shift/11 - ID - Allen Watts - Gravity (original Mix).mp3
UNK|LAME3.99.5|UNK|bad - makes shift/11 - ROBERT NICKSON Feat. CAT MARTIN - Every Sun - Extended Mix.mp3
UNK|LAME3.99.5|LAME3.99|bad - makes shift/12 - SIMON PATTERSON FT. LUCY PULLIN - Now I Can Breathe Again - Extended Mix.mp3
UNK|LAME3.99.5|LAME3.99|bad - makes shift/13 - ARMIN VAN BUUREN FT. LYRICA ANDERSON - Gotta Be Love - Giuseppe Ottaviani Remix.mp3
Lavf|LAME3.99.5|LAME3.99.5|bad - makes shift/13 - JOHN O'CALLAGHAN - Choice Of The Angels.mp3
UNK|LAME3.99.5|LAME3.99|bad - makes shift/14 - CRAIG CONNELLY - Out Of Orbit.mp3
UNK|LAME3.99.5|LAME3.99|bad - makes shift/14 - GARETH EMERY FT. GAVRIELLE - Far From Home - Craig Connelly Extended Remix.mp3
UNK|LAME3.99.5|LAME3.99|bad - makes shift/14 - JOHN O'CALLAGHAN AND CLARE STAGG - Lies Cost Nothing - Will Atkinson Remix.mp3
UNK|LAME3.99.5|LAME3.99|bad - makes shift/17 - BRYAN KEARNEY - Awaken - Ucast Rewake.mp3
UNK|LAME3.99.5|LAME3.99|bad - makes shift/18 - SIMON PATTERSON AND MAGNUS - Evoke - Extended Mix.mp3
UNK|LAME3.99.5|LAME3.99|bad - makes shift/19 - RELOCATE vs ROBERT NICKSON - Proxima - Original Mix.mp3
UNK|LAME3.99.5|LAME3.99|bad - makes shift/20 - RELOCATE vs ROBERT NICKSON - Everest - Extended Mix.mp3
UNK|LAME3.98.2|LAME3.98|bad - makes shift/21 - DARREN PORTER - Terraforming - Original Mix.mp3
UNK|LAME3.99.5|LAME3.99|bad - makes shift/21 - RELOCATE vs ROBERT NICKSON - Jetpack - Original Mix.mp3
UNK|LAME3.98.2|LAME3.98|bad - makes shift/22 - RELOCATE vs ROBERT NICKSON - Vivid - Original Mix.mp3
UNK|LAME3.99.5|LAME3.99.5|bad - makes shift/22 - THE NOBLE SIX - Firewalker - Extended Mix.mp3
Lavf|LAME3.99.5|LAME3.99.5|bad - makes shift/23 - ECO & DRIFTMOON - Trust In The Wind - Extended Mix.mp3
UNK|LAME3.99.5|LAME3.99|bad - makes shift/27 - FACTOR B - Luna Therapy - Extended Mix.mp3
Lavc56.19|LAME3.99.5|LAME3.99.5|bad - makes shift/CHRIS BROWN - Don't Wake Me Up.mp3
Lavf54.20.4|LAME3.99.5|LAME3.99.5|bad - makes shift/Clean Bandit - Rockabye ft. Sean Paul & Anne.mp3
UNK|LAME3.98.4|LAME3.98.4|bad - makes shift/DAVID GUETTA ft. KELLY ROWLAND - When Love Takes Over - Extended.mp3
UNK|UNK|UNK|bad - makes shift/ENRIQUE IGLESIAS and SAMMY ADAMS - I Finally Found You.mp3
UNK|LAME3.99.5|LAME3.99.5|bad - makes shift/JUSTIN BIEBER ft. J BALVIN - Sorry - Spanish-latin Remix.mp3
