fhg_default|fhg_of1|mpg_default|mpg_nogapless|file
212140|212140|212072|212114|good - no shift/0 ICONA POP - I Love It - Cobra Starship Radio Edit.mp3
412368|412368|412293|412342|good - no shift/01 - ABOVE AND BEYOND FT. ALEX VARGAS - All Over The World - Above And Beyond Club Mix.mp3
445622|445622|445622|445622|good - no shift/01 - ARMIN VAN BUUREN vs ARTY - Nehalennia.mp3
479843|479843|479777|273435|good - no shift/01 - POBSKY - Final Cloud - Original Mix.mp3
268695|268695|268695|268695|good - no shift/01 - PURPLE HAZE Feat. BONUS CHECK - Light Me Up - DJ Estrela Intro.mp3
301975|301975|301916|301949|good - no shift/02 - ABOVE AND BEYOND FT. ZOE JOHNSTON - Peace Of Mind - Arty Remix.mp3
419056|419056|419056|419056|good - no shift/02 - ANDY MOOR - K Ta - Original Mix.mp3
446328|446328|446328|446328|good - no shift/02 - ERIC PRYDZ - Generate - Orkidea Remix.mp3
340819|340819|340748|340793|good - no shift/02 - ERIC PRYDZ VS. CHVRCHES - Tether - Eric Prydz Private Remix.mp3
445544|445544|445454|445518|good - no shift/02 - PROTOCULTURE - Cobalt.mp3
486948|486948|18259|18259|good - no shift/03 - ALEX M.O.R.P.H. - New York City - Original Mix.mp3
414615|414615|414554|414589|good - no shift/03 - BEATSOLE - Before I Wake - Extended Mix.mp3
394631|394631|394631|394631|good - no shift/03 - MAURO PICOTTO - Lizard - Solis And Sean Truby's Ibiza Mix.mp3
548153|548153|548153|548153|good - no shift/03 - SHOGUN - Space Odyssey - Original Mix.mp3
391706|391706|391628|391680|good - no shift/04 - KYAU ALBERT - Follow The Waves - Mino Safy Remix.mp3
472058|472058|472059|472084|good - no shift/04 - MARK ETESON - Blackboard - Jon O'bir Remix.mp3
368274|368274|368191|368248|good - no shift/04 - OMNIA & IRA - The Fusion - Original Mix.mp3
438308|438308|438233|438282|good - no shift/05 - DARK MATTERS FT. ANA CRIADO - The Quest Of A Dream - Paul Webster Remix .mp3
488881|488881|488881|488881|good - no shift/05 - DARK MATTERS FT. JESS MORGAN - The Perfect Lie - Beat Service Remix.mp3
325355|325355|325269|325328|good - no shift/05 - GAIA - In Principio - Original Mix.mp3
216223|0|0|0|good - no shift/06 - ANDREW BAYER - Nobody Told Me - DJ Estrela Extended.mp3
232071|232071|232020|232045|bad - makes shift/01 - MARKUS SCHULZ FT. BROOKE TOMLINSON - In The Night.mp3
383059|383059|383000|383033|bad - makes shift/02 - GARETH EMERY AND BEN GOLD - Until We Meet Again - Extended Mix.mp3
303229|303229|303171|303203|bad - makes shift/03 - COSMIC GATE AND EMMA HEWITT - Going Home - Gareth Emery Remix.mp3
383373|383373|383306|383346|bad - makes shift/03 - ESTIVA - Blossom - Extended Mix.mp3
390347|390347|390283|390321|bad - makes shift/04 - LANGE vs GARETH EMERY - Another You, Another Me - Solis And Sean Truby Remix.mp3
388754|388754|388686|388728|bad - makes shift/04 - ORJAN NILSEN FT. RYKKA - The Hardest Part - Extended Mix.mp3
312555|312555|312500|312528|bad - makes shift/05 - ARMIN VAN BUUREN FT. ERIC VLOEIMANS - Embrace - Arty Extended Remix.mp3
327105|327105|327046|327079|bad - makes shift/05 - SUPER8 & TAB - Cosmo - Extended Mix.mp3
330318|330318|330250|330292|bad - makes shift/08 - VENOM ONE - Elysia - Extended Mix.mp3
289854|289854|289803|289828|bad - makes shift/08 - VINCENT DE MOOR - Fly Away - Khomha Extended Remix.mp3
344711|344711|344653|344685|bad - makes shift/09 - LANGE - Imagineer - Alex M.o.r.p.h Remix.mp3
424515|424515|424439|424489|bad - makes shift/11 - ID - Allen Watts - Gravity (original Mix).mp3
