|problem|case|correction|sep1|first_frame_bad|sep2|raw_dd_common|raw_dd_xing|raw_dd_info|raw_dd_vbri|raw_dd_id3v2|sep3|highest_tag|xing_present|lame_present|lame_valid|sep4|enc_delay|enc_padding|nogap_continued|nogap_continuation|sep5|bitrate_mode|bitrate_value|file
0|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000000.mp3
1|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1227|no|no|___|UNK|UNK|0000001.mp3
2|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1608|no|no|___|UNK|UNK|0000002.mp3
3|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1249|no|no|___|UNK|UNK|0000003.mp3
4|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000004.mp3
5|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|660|no|no|___|UNK|UNK|0000005.mp3
6|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000006.mp3
7|no|D|0|___|no|___||no|no|no|no|___|lame|yes|yes|passed|___|576|1408|no|no|___|UNK|UNK|0000007.mp3
8|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1600|no|no|___|UNK|UNK|0000008.mp3
9|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000009.mp3
10|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|951|no|no|___|UNK|UNK|0000010.mp3
11|no|D|0|___|no|___||no|no|no|no|___|lame|yes|yes|passed|___|576|0|no|no|___|UNK|UNK|0000011.mp3
12|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1664|no|no|___|UNK|UNK|0000012.mp3
13|no|D|0|___|no|___||no|no|no|no|___|lame|yes|yes|passed|___|576|744|no|no|___|UNK|UNK|0000013.mp3
14|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|948|no|no|___|UNK|UNK|0000014.mp3
15|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|0|no|no|___|UNK|UNK|0000015.mp3
16|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1668|no|no|___|UNK|UNK|0000016.mp3
17|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1681|no|no|___|UNK|UNK|0000017.mp3
18|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000018.mp3
19|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1170|no|no|___|UNK|UNK|0000019.mp3
20|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000020.mp3
21|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|768|no|no|___|UNK|UNK|0000021.mp3
22|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1464|no|no|___|UNK|UNK|0000022.mp3
23|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|576|no|no|___|UNK|UNK|0000023.mp3
24|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1681|no|no|___|UNK|UNK|0000024.mp3
25|no|A|0|___|no|___|Info|no|yes|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000025.mp3
26|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|0|no|no|___|UNK|UNK|0000026.mp3
27|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1008|no|no|___|UNK|UNK|0000027.mp3
28|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1212|no|no|___|UNK|UNK|0000028.mp3
29|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000029.mp3
30|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|576|no|no|___|UNK|UNK|0000030.mp3
31|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000031.mp3
32|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1595|no|no|___|UNK|UNK|0000032.mp3
33|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1298|no|no|___|UNK|UNK|0000033.mp3
34|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1152|no|no|___|UNK|UNK|0000034.mp3
35|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000035.mp3
36|no|A|0|___|no|___|Info|no|yes|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000036.mp3
37|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|0|no|no|___|UNK|UNK|0000037.mp3
38|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|0|no|no|___|UNK|UNK|0000038.mp3
39|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|0|no|no|___|UNK|UNK|0000039.mp3
40|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000040.mp3
41|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|841|no|no|___|UNK|UNK|0000041.mp3
42|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000042.mp3
43|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000043.mp3
44|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|0|no|no|___|UNK|UNK|0000044.mp3
45|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000045.mp3
46|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000046.mp3
47|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1309|no|no|___|UNK|UNK|0000047.mp3
48|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1681|no|no|___|UNK|UNK|0000048.mp3
49|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1060|no|no|___|UNK|UNK|0000049.mp3
50|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1146|no|no|___|UNK|UNK|0000050.mp3
51|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1024|no|no|___|UNK|UNK|0000051.mp3
52|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1007|no|no|___|UNK|UNK|0000052.mp3
53|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1527|no|no|___|UNK|UNK|0000053.mp3
54|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1107|no|no|___|UNK|UNK|0000054.mp3
55|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|768|no|no|___|UNK|UNK|0000055.mp3
56|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1280|no|no|___|UNK|UNK|0000056.mp3
57|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|856|no|no|___|UNK|UNK|0000057.mp3
58|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000058.mp3
59|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|576|no|no|___|UNK|UNK|0000059.mp3
60|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1152|no|no|___|UNK|UNK|0000060.mp3
61|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1015|no|no|___|UNK|UNK|0000061.mp3
62|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|591|no|no|___|UNK|UNK|0000062.mp3
63|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1216|no|no|___|UNK|UNK|0000063.mp3
64|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1077|no|no|___|UNK|UNK|0000064.mp3
65|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000065.mp3
66|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|704|no|no|___|UNK|UNK|0000066.mp3
67|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|832|no|no|___|UNK|UNK|0000067.mp3
68|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1344|no|no|___|UNK|UNK|0000068.mp3
69|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1457|no|no|___|UNK|UNK|0000069.mp3
70|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|832|no|no|___|UNK|UNK|0000070.mp3
71|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1344|no|no|___|UNK|UNK|0000071.mp3
72|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1536|no|no|___|UNK|UNK|0000072.mp3
73|no|D|0|___|no|___||no|no|no|no|___|lame|yes|yes|passed|___|576|1428|no|no|___|UNK|UNK|0000073.mp3
74|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1681|no|no|___|UNK|UNK|0000074.mp3
75|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|640|no|no|___|UNK|UNK|0000075.mp3
76|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|832|no|no|___|UNK|UNK|0000076.mp3
77|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000077.mp3
78|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|956|no|no|___|UNK|UNK|0000078.mp3
79|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1288|no|no|___|UNK|UNK|0000079.mp3
80|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1309|no|no|___|UNK|UNK|0000080.mp3
81|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000081.mp3
82|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000082.mp3
83|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000083.mp3
84|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000084.mp3
85|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000085.mp3
86|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000086.mp3
87|no|D|0|___|no|___|Xing|yes|no|no|no|___|lame|yes|yes|passed|___|576|1980|no|no|___|UNK|UNK|0000087.mp3
88|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000088.mp3
89|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|0|no|no|___|UNK|UNK|0000089.mp3
90|yes|B|26|___|no|___|Xing|yes|no|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000090.mp3
91|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|2172|no|no|___|UNK|UNK|0000091.mp3
92|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1856|no|no|___|UNK|UNK|0000092.mp3
93|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000093.mp3
94|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1002|no|no|___|UNK|UNK|0000094.mp3
95|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000095.mp3
96|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000096.mp3
97|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1681|no|no|___|UNK|UNK|0000097.mp3
98|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|0|no|no|___|UNK|UNK|0000098.mp3
99|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1056|no|no|___|UNK|UNK|0000099.mp3
100|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000100.mp3
101|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000101.mp3
102|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|0|no|no|___|UNK|UNK|0000102.mp3
103|yes|B|26|___|no|___|Xing|yes|no|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000103.mp3
104|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000104.mp3
105|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1536|no|no|___|UNK|UNK|0000105.mp3
106|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1287|no|no|___|UNK|UNK|0000106.mp3
107|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1728|no|no|___|UNK|UNK|0000107.mp3
108|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000108.mp3
109|yes|B|26|___|no|___|Info|no|yes|no|no|___|xing|yes|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000109.mp3
110|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|0|no|no|___|UNK|UNK|0000110.mp3
111|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000111.mp3
112|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1176|no|no|___|UNK|UNK|0000112.mp3
113|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|0|no|no|___|UNK|UNK|0000113.mp3
114|no|A|0|___|no|___||no|no|no|no|___|none|no|no|UNK|___|UNK|UNK|UNK|UNK|___|UNK|UNK|0000114.mp3
115|no|D|0|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|passed|___|576|1536|no|no|___|UNK|UNK|0000115.mp3
116|yes|C|26|___|no|___|Info|no|yes|no|no|___|lame|yes|yes|failed|___|576|890|no|no|___|UNK|UNK|0000116.mp3
