ffprobe|mp3guessenc|mediainfo|file
LAME3.98r|LAME3.98.4|LAME3.98r|music/3 imported/1 good shift/0 ICONA POP - I Love It - Cobra Starship Radio Edit.mp3
LAME3.93|LAME3.93|LAME3.93|music/3 imported/1 good shift/01 - ABOVE AND BEYOND FT. ALEX VARGAS - All Over The World - Above And Beyond Club Mix.mp3
UNK|UNK|UNK|music/3 imported/1 good shift/01 - ARMIN VAN BUUREN vs ARTY - Nehalennia.mp3
LAME3.98r|LAME3.98.2|LAME3.98r|music/3 imported/1 good shift/01 - POBSKY - Final Cloud - Original Mix.mp3
UNK|UNK|UNK|music/3 imported/1 good shift/01 - PURPLE HAZE Feat. BONUS CHECK - Light Me Up - DJ Estrela Intro.mp3
LAME3.98r|LAME3.98.4|LAME3.98r|music/3 imported/1 good shift/02 - ABOVE AND BEYOND FT. ZOE JOHNSTON - Peace Of Mind - Arty Remix.mp3
UNK|UNK|UNK|music/3 imported/1 good shift/02 - ANDY MOOR - K Ta - Original Mix.mp3
UNK|UNK|UNK|music/3 imported/1 good shift/02 - ERIC PRYDZ - Generate - Orkidea Remix.mp3
LAME3.99r|LAME3.99.5|LAME3.99r|music/3 imported/1 good shift/02 - ERIC PRYDZ VS. CHVRCHES - Tether - Eric Prydz Private Remix.mp3
LAME3.98r|LAME3.98.2|LAME3.98r|music/3 imported/1 good shift/02 - PROTOCULTURE - Cobalt.mp3
LAME3.97|LAME3.97|LAME3.97|music/3 imported/1 good shift/03 - ALEX M.O.R.P.H. - New York City - Original Mix.mp3
LAME3.99r|LAME3.99.5|LAME3.99r|music/3 imported/1 good shift/03 - BEATSOLE - Before I Wake - Extended Mix.mp3
UNK|UNK|UNK|music/3 imported/1 good shift/03 - MAURO PICOTTO - Lizard - Solis And Sean Truby's Ibiza Mix.mp3
UNK|UNK|UNK|music/3 imported/1 good shift/03 - SHOGUN - Space Odyssey - Original Mix.mp3
LAME3.99r|LAME3.99.5|LAME3.99r|music/3 imported/1 good shift/04 - KYAU ALBERT - Follow The Waves - Mino Safy Remix.mp3
LAME3.98r|LAME3.98.2|LAME3.98r|music/3 imported/1 good shift/04 - MARK ETESON - Blackboard - Jon O'bir Remix.mp3
LAME3.97|LAME3.97|LAME3.97|music/3 imported/1 good shift/04 - OMNIA & IRA - The Fusion - Original Mix.mp3
UNK|UNK|UNK|music/3 imported/1 good shift/04 - SOLARSTONE WITH ALY AND FILA - Fireisland - Future Disciple Remix.mp3
LAME3.98r|LAME3.98.4|LAME3.98r|music/3 imported/1 good shift/05 - DARK MATTERS FT. ANA CRIADO - The Quest Of A Dream - Paul Webster Remix .mp3
